Index,Folder,Filename,Image Size,BBox,Categorical_Labels,Continuous_Labels,Gender,Age
2146,framesdb/images,frame_3j8fpei7ais7ioo3.jpg,"[4149, 2656]","[167, 884, 684, 2274]",['Surprise'],"[6, 5, 4]",Male,Adult
2147,framesdb/images,frame_2snpwbuelzq0msqa.jpg,"[3872, 2592]","[2423, 551, 3101, 2125]",['Engagement'],"[6, 8, 8]",Female,Adult
2148,framesdb/images,frame_2snpwbuelzq0msqa.jpg,"[3872, 2592]","[16, 1856, 641, 2591]","['Engagement', 'Fatigue']","[5, 7, 7]",Male,Adult
2149,framesdb/images,frame_2snpwbuelzq0msqa.jpg,"[3872, 2592]","[2072, 941, 2251, 1372]",['Engagement'],"[5, 2, 8]",Male,Adult
2150,framesdb/images,frame_8b9ynaytsjgpvfum.jpg,"[505, 378]","[69, 49, 241, 341]","['Anticipation', 'Engagement']","[7, 4, 6]",Male,Adult
2151,framesdb/images,frame_hy3us4nzqdh2sp9l.jpg,"[1300, 866]","[616, 252, 1118, 761]","['Engagement', 'Peace']","[7, 6, 8]",Female,Adult
2152,mscoco/images,COCO_train2014_000000495374.jpg,"[640, 480]","[45, 274, 271, 473]","['Confidence', 'Engagement']","[4, 8, 10]",Male,Adult
2153,framesdb/images,frame_3vobkkyidbdlu2xe.jpg,"[450, 335]","[216, 78, 362, 256]","['Affection', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']","[9, 3, 7]",Female,Adult
2154,mscoco/images,COCO_train2014_000000004823.jpg,"[640, 480]","[106, 58, 396, 479]","['Confidence', 'Engagement']","[6, 6, 8]",Male,Adult
2155,mscoco/images,COCO_train2014_000000381194.jpg,"[500, 470]","[135, 36, 384, 260]",['Anticipation'],"[6, 7, 7]",Male,Adult
2156,framesdb/images,frame_anrlmfqp6fxw7if0.jpg,"[486, 640]","[45, 39, 429, 620]","['Anticipation', 'Engagement', 'Happiness']","[6, 7, 6]",Female,Adult
2157,framesdb/images,frame_h0zg34rk3lzd5i9r.jpg,"[1500, 1000]","[161, 140, 655, 999]","['Confidence', 'Peace']","[6, 6, 3]",Male,Adult
2158,framesdb/images,frame_h0zg34rk3lzd5i9r.jpg,"[1500, 1000]","[938, 70, 1214, 985]","['Peace', 'Pleasure']","[4, 4, 9]",Male,Adult
2159,framesdb/images,frame_h0zg34rk3lzd5i9r.jpg,"[1500, 1000]","[609, 172, 988, 999]","['Excitement', 'Happiness']","[7, 4, 5]",Female,Adult
2160,framesdb/images,frame_fzjm6ny9euhk68mw.jpg,"[632, 423]","[349, 215, 433, 418]","['Anticipation', 'Engagement']","[6, 8, 5]",Male,Adult
2161,framesdb/images,frame_fzjm6ny9euhk68mw.jpg,"[632, 423]","[470, 222, 540, 387]",['Engagement'],"[6, 6, 6]",Male,Adult
2162,mscoco/images,COCO_val2014_000000185393.jpg,"[640, 481]","[298, 7, 629, 472]","['Confidence', 'Excitement', 'Happiness']","[6, 3, 9]",Female,Adult
2163,ade20k/images,sun_aerqspuagjngdqub.jpg,"[2290, 1527]","[1524, 64, 2041, 1526]","['Happiness', 'Pleasure', 'Yearning']","[6, 4, 5]",Male,Adult
2164,mscoco/images,COCO_train2014_000000236961.jpg,"[640, 426]","[416, 23, 613, 320]",['Anticipation'],"[7, 5, 6]",Male,Teenager
2165,mscoco/images,COCO_train2014_000000236961.jpg,"[640, 426]","[36, 30, 269, 364]",['Esteem'],"[7, 8, 8]",Male,Kid
2166,framesdb/images,frame_7pts1so6bvgualbs.jpg,"[852, 480]","[513, 19, 851, 442]","['Confidence', 'Happiness']","[7, 3, 9]",Female,Adult
2167,framesdb/images,frame_7pts1so6bvgualbs.jpg,"[852, 480]","[35, 14, 402, 475]","['Anticipation', 'Confidence', 'Engagement', 'Peace', 'Yearning']","[6, 4, 6]",Male,Adult
2168,framesdb/images,frame_7pts1so6bvgualbs.jpg,"[852, 480]","[305, 32, 564, 227]",['Engagement'],"[5, 2, 8]",Male,Adult
2169,mscoco/images,COCO_train2014_000000240449.jpg,"[640, 480]","[283, 150, 414, 361]",['Confidence'],"[6, 8, 7]",Male,Adult
2170,mscoco/images,COCO_train2014_000000109971.jpg,"[500, 394]","[359, 167, 469, 321]","['Anticipation', 'Engagement']","[6, 8, 6]",Male,Adult
2171,mscoco/images,COCO_train2014_000000109971.jpg,"[500, 394]","[73, 109, 180, 298]",['Confidence'],"[7, 4, 9]",Male,Adult
2172,mscoco/images,COCO_train2014_000000109971.jpg,"[500, 394]","[20, 70, 98, 285]","['Anticipation', 'Engagement']","[7, 7, 7]",Female,Adult
2173,framesdb/images,frame_c7njnqirl2oemfee.jpg,"[500, 375]","[177, 115, 335, 333]","['Engagement', 'Happiness', 'Pleasure']","[8, 6, 6]",Female,Adult
2174,mscoco/images,COCO_train2014_000000008725.jpg,"[640, 422]","[123, 109, 335, 260]","['Confidence', 'Excitement']","[6, 8, 8]",Male,Adult
2175,mscoco/images,COCO_train2014_000000134914.jpg,"[544, 640]","[184, 87, 353, 433]",['Confidence'],"[6, 5, 7]",Male,Adult
2176,framesdb/images,frame_jzlgzij9gtr49dgg.jpg,"[726, 484]","[148, 155, 426, 309]",['Confidence'],"[5, 4, 6]",Male,Adult
2177,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[219, 121, 303, 419]",['Happiness'],"[5, 7, 7]",Female,Adult
2178,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[515, 211, 588, 408]","['Anticipation', 'Engagement', 'Happiness']","[5, 6, 5]",Male,Kid
2179,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[48, 186, 141, 428]","['Anticipation', 'Disconnection']","[8, 10, 10]",Male,Kid
2180,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[424, 180, 487, 403]",['Pleasure'],"[7, 3, 8]",Male,Kid
2181,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[135, 177, 210, 370]","['Engagement', 'Excitement', 'Happiness', 'Pleasure']","[8, 9, 8]",Male,Kid
2182,framesdb/images,frame_kx4x2gnb85gubure.jpg,"[626, 434]","[475, 156, 524, 339]",['Disconnection'],"[4, 5, 4]",Male,Kid
2183,framesdb/images,frame_co69yx0kr8xzcctt.jpg,"[550, 366]","[259, 35, 435, 328]","['Affection', 'Anticipation', 'Engagement', 'Happiness']","[5, 2, 9]",Male,Kid
2184,framesdb/images,frame_bm4ch36kurqm4rb7.jpg,"[3088, 2056]","[1186, 856, 1419, 1198]","['Anticipation', 'Engagement', 'Happiness']","[4, 4, 6]",Male,Adult
2185,mscoco/images,COCO_train2014_000000284901.jpg,"[640, 426]","[337, 190, 544, 425]","['Anticipation', 'Engagement']","[3, 4, 4]",Female,Adult
2186,mscoco/images,COCO_train2014_000000458960.jpg,"[640, 470]","[49, 171, 222, 428]",['Engagement'],"[5, 5, 6]",Male,Adult
2187,mscoco/images,COCO_train2014_000000287038.jpg,"[640, 427]","[266, 115, 464, 268]",['Anticipation'],"[7, 9, 9]",Male,Adult
2188,framesdb/images,frame_lwipdld1q0of7gra.jpg,"[634, 357]","[188, 67, 615, 355]","['Affection', 'Disquietment', 'Esteem', 'Peace']","[5, 1, 10]",Female,Adult
2189,framesdb/images,frame_lwipdld1q0of7gra.jpg,"[634, 357]","[4, 15, 356, 331]","['Fatigue', 'Peace']","[5, 1, 5]",Male,Adult
2190,mscoco/images,COCO_train2014_000000421320.jpg,"[500, 375]","[205, 30, 367, 196]","['Happiness', 'Pleasure']","[8, 4, 8]",Male,Kid
2191,mscoco/images,COCO_train2014_000000158841.jpg,"[640, 480]","[231, 77, 462, 245]","['Anticipation', 'Confidence', 'Engagement']","[6, 8, 6]",Male,Adult
2192,mscoco/images,COCO_val2014_000000261705.jpg,"[640, 545]","[145, 145, 312, 336]",['Engagement'],"[7, 6, 7]",Male,Adult
2193,mscoco/images,COCO_train2014_000000063334.jpg,"[640, 434]","[252, 128, 442, 425]","['Confidence', 'Engagement']","[5, 10, 9]",Male,Teenager
2194,framesdb/images,frame_lw0elf2b0kfi0fl8.jpg,"[600, 450]","[385, 244, 437, 354]","['Confidence', 'Engagement', 'Peace']","[8, 3, 8]",Male,Adult
2195,framesdb/images,frame_225d86v9fqv4u5wj.jpg,"[640, 360]","[248, 97, 292, 230]","['Confidence', 'Peace']","[5, 1, 8]",Male,Adult
2196,framesdb/images,frame_225d86v9fqv4u5wj.jpg,"[640, 360]","[461, 112, 587, 336]",['Engagement'],"[5, 6, 6]",Male,Adult
2197,framesdb/images,frame_88dyowyvdyw15i2q.jpg,"[300, 450]","[73, 72, 252, 351]",['Engagement'],"[4, 4, 5]",Female,Adult
2198,mscoco/images,COCO_train2014_000000083809.jpg,"[640, 478]","[8, 35, 270, 470]",['Engagement'],"[7, 7, 7]",Male,Adult
2199,mscoco/images,COCO_train2014_000000083809.jpg,"[640, 478]","[294, 87, 488, 470]",['Engagement'],"[6, 4, 7]",Male,Adult
2200,mscoco/images,COCO_train2014_000000334852.jpg,"[640, 480]","[280, 136, 416, 363]",['Anticipation'],"[6, 8, 8]",Male,Adult
2201,mscoco/images,COCO_train2014_000000302103.jpg,"[640, 427]","[238, 190, 417, 393]",['Anticipation'],"[6, 2, 7]",Male,Adult
2202,mscoco/images,COCO_val2014_000000228914.jpg,"[640, 426]","[214, 145, 419, 315]","['Anticipation', 'Engagement', 'Excitement']","[7, 8, 7]",Male,Adult
2203,emodb_small/images,6ru9myoiseatt9m1g2.jpg,"[160, 314]","[17, 2, 160, 160]","['Disconnection', 'Disquietment', 'Doubt/Confusion', 'Fatigue', 'Fear', 'Sadness']","[3, 3, 4]",Male,Adult
2204,mscoco/images,COCO_train2014_000000498916.jpg,"[479, 640]","[257, 212, 420, 431]","['Engagement', 'Esteem', 'Excitement']","[5, 9, 8]",Male,Adult
2205,mscoco/images,COCO_train2014_000000162102.jpg,"[640, 426]","[78, 17, 215, 289]","['Anticipation', 'Engagement']","[7, 7, 10]",Female,Adult
2206,mscoco/images,COCO_train2014_000000162102.jpg,"[640, 426]","[291, 21, 379, 275]","['Anticipation', 'Engagement']","[6, 4, 6]",Female,Adult
2207,mscoco/images,COCO_train2014_000000020421.jpg,"[640, 480]","[258, 235, 393, 476]",['Anticipation'],"[3, 5, 5]",Male,Teenager
2208,mscoco/images,COCO_train2014_000000242926.jpg,"[462, 640]","[130, 127, 328, 382]",['Confidence'],"[6, 4, 8]",Male,Adult
2209,mscoco/images,COCO_val2014_000000529122.jpg,"[500, 281]","[29, 18, 163, 275]",['Engagement'],"[5, 4, 7]",Female,Adult
2210,mscoco/images,COCO_val2014_000000529122.jpg,"[500, 281]","[141, 100, 296, 277]","['Anticipation', 'Engagement', 'Sympathy']","[6, 7, 8]",Male,Kid
2211,framesdb/images,frame_g0q8mib3acbpgmn5.jpg,"[450, 331]","[1, 75, 153, 254]",['Engagement'],"[6, 6, 6]",Male,Adult
2212,framesdb/images,frame_g0q8mib3acbpgmn5.jpg,"[450, 331]","[182, 78, 336, 278]","['Engagement', 'Esteem', 'Happiness']","[7, 4, 6]",Male,Adult
2213,emodb_small/images,02lk53bcfgyk89o8fl.jpg,"[652, 1024]","[260, 107, 596, 489]","['Engagement', 'Fatigue']","[4, 2, 3]",Female,Adult
2214,mscoco/images,COCO_train2014_000000488215.jpg,"[500, 375]","[344, 154, 477, 349]",['Engagement'],"[5, 2, 6]",Female,Adult
2215,emodb_small/images,eh6fo5xazcnas1fxvw.jpg,"[300, 300]","[143, 105, 298, 298]","['Aversion', 'Sadness', 'Suffering']","[3, 5, 2]",Female,Kid
2216,emodb_small/images,eh6fo5xazcnas1fxvw.jpg,"[300, 300]","[2, 2, 191, 300]",['Sadness'],"[3, 6, 4]",Female,Kid
2217,framesdb/images,frame_d6u6slr3cs9wg4a6.jpg,"[600, 300]","[314, 40, 500, 299]","['Confidence', 'Engagement']","[5, 6, 7]",Female,Adult
2218,mscoco/images,COCO_train2014_000000579862.jpg,"[640, 405]","[278, 153, 399, 359]",['Engagement'],"[6, 7, 6]",Female,Adult
2219,mscoco/images,COCO_train2014_000000579862.jpg,"[640, 405]","[23, 152, 126, 364]",['Engagement'],"[5, 8, 7]",Male,Adult
2220,mscoco/images,COCO_train2014_000000475952.jpg,"[640, 474]","[188, 6, 584, 473]",['Happiness'],"[3, 3, 3]",Male,Adult
2221,mscoco/images,COCO_train2014_000000395560.jpg,"[640, 478]","[387, 103, 496, 414]",['Peace'],"[7, 5, 6]",Male,Adult
2222,mscoco/images,COCO_train2014_000000420747.jpg,"[640, 426]","[341, 185, 497, 398]","['Anticipation', 'Engagement']","[6, 8, 8]",Male,Adult
2223,framesdb/images,frame_an6pkijhbectgybi.jpg,"[450, 320]","[81, 1, 302, 299]","['Confidence', 'Engagement', 'Pleasure']","[6, 4, 5]",Female,Adult
2224,framesdb/images,frame_dwdxk94e0qudj96q.jpg,"[1200, 675]","[975, 391, 1031, 495]",['Disconnection'],"[5, 6, 6]",Male,Adult
2225,mscoco/images,COCO_train2014_000000256366.jpg,"[640, 426]","[60, 47, 350, 372]","['Confidence', 'Engagement', 'Excitement']","[6, 8, 6]",Male,Teenager
2226,mscoco/images,COCO_train2014_000000277956.jpg,"[640, 480]","[61, 67, 243, 472]","['Disconnection', 'Esteem']","[7, 4, 6]",Female,Kid
2227,ade20k/images,labelme_uxykffazxuuosbb.jpg,"[2592, 1944]","[2131, 619, 2547, 1944]","['Disconnection', 'Peace']","[5, 6, 6]",Male,Adult
2228,ade20k/images,labelme_uxykffazxuuosbb.jpg,"[2592, 1944]","[1628, 771, 2087, 1944]",['Embarrassment'],"[4, 4, 4]",Female,Adult
2229,mscoco/images,COCO_train2014_000000211071.jpg,"[640, 426]","[167, 6, 289, 410]","['Anger', 'Annoyance', 'Disquietment']","[7, 6, 6]",Male,Adult
2230,mscoco/images,COCO_train2014_000000211071.jpg,"[640, 426]","[266, 156, 477, 407]","['Confidence', 'Engagement', 'Happiness']","[6, 10, 10]",Male,Adult
2231,mscoco/images,COCO_train2014_000000246318.jpg,"[640, 425]","[42, 34, 487, 338]",['Sadness'],"[6, 7, 6]",Female,Adult
2232,mscoco/images,COCO_train2014_000000278541.jpg,"[640, 480]","[260, 52, 448, 479]","['Anticipation', 'Confidence', 'Esteem']","[7, 10, 9]",Male,Teenager
2233,mscoco/images,COCO_val2014_000000179578.jpg,"[640, 457]","[96, 19, 189, 371]","['Engagement', 'Excitement']","[5, 8, 6]",Male,Teenager
2234,mscoco/images,COCO_val2014_000000179578.jpg,"[640, 457]","[447, 131, 590, 436]","['Confidence', 'Engagement', 'Excitement']","[6, 7, 7]",Male,Adult
2235,mscoco/images,COCO_val2014_000000474039.jpg,"[640, 401]","[171, 60, 391, 395]","['Anticipation', 'Engagement', 'Peace']","[5, 3, 4]",Male,Kid
2236,mscoco/images,COCO_train2014_000000052208.jpg,"[640, 433]","[62, 36, 314, 406]",['Engagement'],"[6, 6, 7]",Female,Adult
2237,mscoco/images,COCO_val2014_000000109370.jpg,"[500, 375]","[110, 21, 401, 365]","['Anticipation', 'Engagement']","[7, 9, 7]",Male,Adult
2238,mscoco/images,COCO_train2014_000000005471.jpg,"[640, 427]","[43, 121, 334, 421]",['Embarrassment'],"[6, 7, 7]",Female,Adult
2239,mscoco/images,COCO_train2014_000000160573.jpg,"[500, 375]","[198, 28, 414, 316]",['Engagement'],"[6, 7, 6]",Male,Teenager
2240,framesdb/images,frame_27o4px4ccpbrp5go.jpg,"[4608, 3072]","[2650, 1303, 3391, 2733]","['Anticipation', 'Engagement', 'Happiness']","[7, 7, 6]",Male,Adult
2241,framesdb/images,frame_27o4px4ccpbrp5go.jpg,"[4608, 3072]","[3867, 1669, 4557, 3062]","['Confidence', 'Engagement']","[4, 3, 6]",Male,Adult
2242,emodb_small/images,6ds9htfgqywr1rtwkf.jpg,"[339, 508]","[213, 3, 339, 340]","['Confidence', 'Engagement', 'Fatigue']","[5, 7, 7]",Female,Adult
2243,mscoco/images,COCO_val2014_000000544456.jpg,"[640, 427]","[243, 27, 381, 195]","['Engagement', 'Fatigue', 'Pain', 'Suffering']","[5, 3, 8]",Female,Adult
2244,mscoco/images,COCO_train2014_000000567305.jpg,"[640, 360]","[92, 105, 219, 354]","['Confidence', 'Engagement']","[4, 6, 8]",Male,Adult
2245,mscoco/images,COCO_train2014_000000128826.jpg,"[500, 375]","[341, 135, 490, 372]","['Anticipation', 'Engagement', 'Peace']","[6, 9, 8]",Male,Adult
2246,mscoco/images,COCO_train2014_000000128826.jpg,"[500, 375]","[9, 107, 176, 300]",['Engagement'],"[7, 8, 3]",Male,Adult
2247,framesdb/images,frame_g620nwu4yvlqutog.jpg,"[2277, 2968]","[347, 444, 1587, 2137]",['Engagement'],"[7, 4, 6]",Male,Adult
2248,ade20k/images,labelme_fajzifqzecdkqxt.jpg,"[2048, 1536]","[1170, 743, 1465, 1405]",['Engagement'],"[5, 8, 6]",Female,Adult
2249,mscoco/images,COCO_train2014_000000244614.jpg,"[640, 426]","[463, 110, 626, 422]",['Anticipation'],"[6, 7, 6]",Male,Adult
2250,mscoco/images,COCO_train2014_000000244614.jpg,"[640, 426]","[213, 88, 455, 420]","['Confidence', 'Engagement']","[6, 1, 9]",Male,Adult
2251,mscoco/images,COCO_val2014_000000247917.jpg,"[612, 612]","[52, 55, 221, 554]","['Esteem', 'Happiness', 'Sympathy']","[7, 7, 8]",Male,Adult
2252,mscoco/images,COCO_val2014_000000247917.jpg,"[612, 612]","[456, 222, 597, 557]","['Annoyance', 'Disconnection', 'Embarrassment']","[6, 6, 6]",Female,Adult
2253,mscoco/images,COCO_val2014_000000247917.jpg,"[612, 612]","[335, 97, 483, 300]","['Confidence', 'Esteem', 'Happiness', 'Sympathy']","[7, 5, 7]",Male,Adult
2254,mscoco/images,COCO_train2014_000000353507.jpg,"[640, 427]","[433, 113, 605, 280]",['Anticipation'],"[8, 3, 7]",Male,Kid
2255,framesdb/images,frame_ex3zzcrjjsfcrxvu.jpg,"[926, 442]","[504, 61, 583, 281]","['Excitement', 'Happiness']","[6, 6, 7]",Female,Adult
2256,framesdb/images,frame_ex3zzcrjjsfcrxvu.jpg,"[926, 442]","[264, 184, 479, 430]",['Engagement'],"[6, 3, 3]",Male,Kid
2257,framesdb/images,frame_3chkaksflbubeg5q.jpg,"[531, 374]","[412, 191, 453, 289]",['Engagement'],"[5, 6, 6]",Female,Teenager
2258,framesdb/images,frame_3chkaksflbubeg5q.jpg,"[531, 374]","[160, 190, 194, 303]",['Engagement'],"[6, 5, 5]",Male,Adult
2259,emodb_small/images,dkcdoniucgma3ljau4.jpg,"[538, 825]","[2, 106, 538, 509]","['Disapproval', 'Doubt/Confusion', 'Fatigue', 'Pain', 'Suffering', 'Surprise', 'Yearning']","[2, 4, 2]",Female,Adult
2260,framesdb/images,frame_9n2931glhi9hbfo8.jpg,"[800, 533]","[93, 60, 389, 286]","['Engagement', 'Happiness']","[8, 3, 6]",Male,Adult
2261,mscoco/images,COCO_train2014_000000494330.jpg,"[640, 436]","[371, 56, 595, 398]","['Disconnection', 'Happiness']","[8, 8, 8]",Male,Kid
2262,mscoco/images,COCO_train2014_000000543201.jpg,"[640, 359]","[336, 34, 441, 355]","['Disconnection', 'Doubt/Confusion']","[5, 7, 4]",Female,Kid
2263,mscoco/images,COCO_train2014_000000054295.jpg,"[640, 508]","[418, 111, 598, 455]","['Anticipation', 'Excitement']","[6, 8, 6]",Male,Kid
2264,mscoco/images,COCO_train2014_000000559553.jpg,"[640, 434]","[178, 17, 312, 426]","['Confidence', 'Engagement']","[6, 7, 7]",Female,Adult
2265,mscoco/images,COCO_val2014_000000481212.jpg,"[500, 375]","[47, 92, 348, 324]","['Engagement', 'Peace']","[6, 3, 9]",Male,Adult
2266,mscoco/images,COCO_train2014_000000048632.jpg,"[640, 458]","[354, 25, 514, 358]","['Confidence', 'Engagement']","[6, 7, 7]",Male,Adult
2267,mscoco/images,COCO_train2014_000000048632.jpg,"[640, 458]","[182, 167, 379, 304]",['Engagement'],"[4, 5, 4]",Male,Adult
2268,mscoco/images,COCO_train2014_000000048632.jpg,"[640, 458]","[237, 126, 419, 281]",['Engagement'],"[7, 5, 4]",Male,Adult
2269,framesdb/images,frame_2tdt4xzknrtol2py.jpg,"[580, 370]","[316, 37, 560, 361]","['Anticipation', 'Happiness']","[4, 8, 8]",Male,Adult
2270,mscoco/images,COCO_train2014_000000215994.jpg,"[640, 480]","[96, 284, 254, 478]",['Disconnection'],"[3, 4, 4]",Female,Adult
2271,mscoco/images,COCO_train2014_000000186684.jpg,"[640, 427]","[155, 30, 321, 417]","['Engagement', 'Happiness']","[4, 6, 7]",Female,Teenager
2272,mscoco/images,COCO_train2014_000000450003.jpg,"[640, 478]","[168, 216, 288, 477]",['Happiness'],"[7, 6, 6]",Male,Kid
2273,emodb_small/images,4qtl5kntt85xkubhpw.jpg,"[175, 288]","[26, 58, 83, 156]","['Confidence', 'Happiness']","[8, 10, 10]",Female,Adult
2274,emodb_small/images,4qtl5kntt85xkubhpw.jpg,"[175, 288]","[59, 47, 134, 166]","['Engagement', 'Excitement', 'Pleasure']","[8, 10, 7]",Female,Adult
2275,emodb_small/images,4qtl5kntt85xkubhpw.jpg,"[175, 288]","[136, 55, 175, 152]","['Confidence', 'Pleasure']","[8, 10, 7]",Female,Adult
2276,mscoco/images,COCO_train2014_000000329592.jpg,"[640, 523]","[243, 69, 493, 483]","['Confidence', 'Engagement']","[7, 7, 7]",Female,Adult
2277,mscoco/images,COCO_train2014_000000214193.jpg,"[500, 400]","[197, 41, 313, 343]",['Anticipation'],"[5, 7, 6]",Male,Kid
2278,ade20k/images,sun_audebevbaoggjgye.jpg,"[500, 335]","[166, 11, 441, 333]","['Happiness', 'Peace', 'Pleasure']","[6, 3, 7]",Male,Adult
2279,mscoco/images,COCO_val2014_000000064240.jpg,"[640, 384]","[165, 74, 330, 321]","['Anticipation', 'Confidence', 'Sympathy']","[6, 8, 8]",Male,Adult
2280,ade20k/images,sun_aaumzixarlpqrcyz.jpg,"[500, 326]","[119, 72, 183, 261]","['Anticipation', 'Excitement']","[6, 5, 5]",Male,Adult
2281,mscoco/images,COCO_train2014_000000348680.jpg,"[640, 360]","[326, 56, 446, 355]",['Sensitivity'],"[6, 7, 7]",Male,Adult
2282,mscoco/images,COCO_train2014_000000154462.jpg,"[640, 485]","[344, 23, 476, 303]",['Engagement'],"[7, 4, 6]",Male,Adult
2283,mscoco/images,COCO_train2014_000000154462.jpg,"[640, 485]","[188, 74, 371, 472]","['Disquietment', 'Fatigue']","[6, 5, 6]",Male,Teenager
2284,framesdb/images,frame_1a1i5mm6xe19nza5.jpg,"[1000, 667]","[270, 92, 513, 562]","['Engagement', 'Excitement', 'Happiness']","[7, 8, 7]",Male,Teenager
2285,framesdb/images,frame_1a1i5mm6xe19nza5.jpg,"[1000, 667]","[674, 453, 721, 568]","['Disconnection', 'Engagement']","[6, 7, 4]",Male,Kid
2286,mscoco/images,COCO_train2014_000000255402.jpg,"[640, 480]","[263, 10, 498, 395]",['Confidence'],"[7, 9, 8]",Male,Adult
2287,framesdb/images,frame_g7si8y6ozzofckeg.jpg,"[450, 317]","[114, 18, 199, 283]",['Engagement'],"[6, 7, 8]",Female,Adult
2288,mscoco/images,COCO_train2014_000000433928.jpg,"[640, 501]","[225, 64, 593, 484]","['Anticipation', 'Engagement', 'Excitement']","[6, 9, 9]",Male,Adult
2289,mscoco/images,COCO_train2014_000000440339.jpg,"[319, 235]","[106, 15, 233, 197]","['Excitement', 'Happiness']","[8, 7, 5]",Female,Adult
2290,mscoco/images,COCO_train2014_000000102835.jpg,"[640, 431]","[48, 32, 202, 399]","['Confidence', 'Engagement']","[7, 10, 8]",Male,Adult
2291,mscoco/images,COCO_train2014_000000102835.jpg,"[640, 431]","[366, 36, 518, 398]","['Confidence', 'Engagement', 'Excitement']","[5, 7, 7]",Male,Adult
2292,mscoco/images,COCO_train2014_000000339248.jpg,"[640, 480]","[197, 178, 320, 412]",['Esteem'],"[8, 3, 8]",Male,Adult
2293,mscoco/images,COCO_train2014_000000473912.jpg,"[640, 428]","[283, 193, 609, 427]","['Disconnection', 'Peace']","[4, 2, 10]",Female,Teenager
2294,mscoco/images,COCO_train2014_000000153871.jpg,"[640, 618]","[122, 83, 567, 587]","['Anticipation', 'Confidence', 'Engagement', 'Happiness']","[6, 8, 6]",Female,Adult
2295,mscoco/images,COCO_train2014_000000218717.jpg,"[640, 480]","[66, 85, 345, 407]",['Anticipation'],"[6, 4, 7]",Female,Kid
2296,mscoco/images,COCO_train2014_000000337882.jpg,"[640, 480]","[329, 107, 538, 320]","['Anticipation', 'Engagement']","[5, 5, 7]",Male,Adult
2297,mscoco/images,COCO_train2014_000000337882.jpg,"[640, 480]","[390, 206, 591, 471]",['Yearning'],"[7, 7, 8]",Female,Adult
2298,mscoco/images,COCO_train2014_000000275558.jpg,"[640, 512]","[77, 85, 257, 451]","['Anticipation', 'Engagement']","[4, 9, 4]",Male,Adult
2299,mscoco/images,COCO_train2014_000000201640.jpg,"[640, 418]","[264, 24, 532, 411]",['Excitement'],"[7, 4, 6]",Male,Kid
2300,mscoco/images,COCO_train2014_000000117770.jpg,"[480, 360]","[185, 81, 294, 307]","['Confidence', 'Engagement', 'Excitement']","[7, 7, 6]",Female,Adult
2301,mscoco/images,COCO_train2014_000000085046.jpg,"[640, 640]","[264, 237, 442, 433]","['Engagement', 'Pleasure']","[8, 4, 7]",Male,Adult
2302,mscoco/images,COCO_val2014_000000472067.jpg,"[640, 427]","[225, 149, 361, 365]",['Happiness'],"[5, 4, 6]",Male,Adult
2303,mscoco/images,COCO_val2014_000000472067.jpg,"[640, 427]","[142, 173, 246, 383]",['Disconnection'],"[6, 3, 5]",Female,Adult
2304,mscoco/images,COCO_val2014_000000472067.jpg,"[640, 427]","[18, 79, 131, 426]",['Disconnection'],"[6, 6, 7]",Female,Adult
2305,mscoco/images,COCO_val2014_000000235778.jpg,"[640, 337]","[248, 125, 450, 331]",['Engagement'],"[7, 6, 7]",Male,Adult
2306,framesdb/images,frame_lpplkc3se5zktxnh.jpg,"[1080, 720]","[269, 99, 551, 579]",['Engagement'],"[4, 7, 4]",Male,Adult
2307,mscoco/images,COCO_val2014_000000095702.jpg,"[640, 430]","[29, 67, 155, 255]","['Affection', 'Anticipation', 'Confidence']","[6, 6, 8]",Male,Adult
2308,mscoco/images,COCO_train2014_000000045923.jpg,"[640, 640]","[433, 159, 593, 375]",['Engagement'],"[7, 6, 7]",Male,Adult
2309,framesdb/images,frame_loglrf8g87kxp8h7.jpg,"[425, 640]","[6, 204, 321, 595]","['Affection', 'Anticipation', 'Happiness', 'Pleasure']","[7, 2, 9]",Female,Kid
2310,mscoco/images,COCO_train2014_000000490626.jpg,"[640, 447]","[311, 36, 483, 245]","['Confidence', 'Engagement', 'Happiness']","[6, 8, 8]",Male,Adult
2311,mscoco/images,COCO_train2014_000000570968.jpg,"[640, 597]","[368, 51, 509, 497]",['Engagement'],"[4, 4, 5]",Male,Adult
2312,mscoco/images,COCO_train2014_000000043110.jpg,"[640, 427]","[356, 29, 451, 334]","['Excitement', 'Happiness', 'Pleasure']","[8, 8, 7]",Male,Adult
2313,mscoco/images,COCO_train2014_000000139166.jpg,"[640, 427]","[162, 55, 265, 347]",['Anticipation'],"[6, 9, 6]",Male,Adult
2314,mscoco/images,COCO_train2014_000000171607.jpg,"[640, 480]","[274, 88, 486, 473]","['Doubt/Confusion', 'Engagement']","[8, 10, 9]",Male,Teenager
2315,mscoco/images,COCO_train2014_000000344782.jpg,"[640, 512]","[142, 45, 451, 423]","['Anticipation', 'Confidence', 'Engagement']","[4, 10, 7]",Male,Teenager
